,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,9_1c307c064fb86279e41d4ecf075461cc2b541ad4class,5.91667,8.95588,3.03922,5.91667,5.41176,1.67157,0.12745,6.76471,3.51471,0.1431,0,0,3.70588,0.27941,3.12745,0.23039,0.28922,0.05882,3.47549,0.0098,0.0049,0,1.59314,0.09804,0.05882,1.46569,0.01471,0.05392,0.44118,0,2.56373,28.63235,1.72549,0.34314,0.64216,0.02941,0.84804,1.53922,18.35784,6.54412,3.09804,5.85294,0.56373,0.0098,0.0049,0,30.94118,21.13725,0.02941
1,7_4b2c96d4a21b63d8862851655924c48169e918afclass,6.75565,8.77618,2.02053,6.75565,6.01848,1.80082,0.16427,7.8152,11.32444,0.20972,-0.02123,-0.02123,4.44353,0.34086,3.52977,0.30595,0.26694,0.34086,4.13758,0.00616,0,0,1.59548,0.1499,0.01848,1.52567,0.02669,0.02464,0.78234,0,2.56674,33.31417,2.00411,0.37166,0.37166,0.02259,0.38193,4.40657,22.53593,7.57084,1.4538,6.89938,0.53388,0.01027,0.02464,0.12936,36.28953,20.00411,0.04517
2,1_afb59aa5020fb1a1bab961dfe5f05c09eddd96c0class,5.83744,8.72414,2.8867,5.83744,5.14286,1.20197,0.13793,6.55172,4.01478,0.17314,0,0,3.85222,0.20197,3.63054,0.11823,0.04433,0.05911,3.73399,0.00985,0,0,1.69458,0.07389,0.04433,1.59606,0,0.05419,0.44828,0,2.39409,29.08867,1.77833,0.35961,0.37438,0.02463,0.84729,1.29557,20.2266,7.39901,3.06897,6.66995,0.55172,0.00985,0,0,30.51232,16.1133,0
3,2_f697f91191561779b933262d181832c9abfb9497class,5.98119,8.49843,2.51724,5.98119,4.67398,1.69906,0.09404,6.01254,2.55172,0.12848,0,0,3.31348,0.19436,2.65831,0.17555,0.35737,0.12226,3.13793,0.00627,0.01881,0,1.68966,0.10658,0.04075,1.58934,0.03135,0.02821,0.64577,0,3.7116,28.03135,1.45455,0.29467,0.4326,0.02194,0.57053,1.57994,22.68025,6.05956,2.2069,5.51097,0.50784,0.0094,0.00313,0,30.68966,20.29154,0.02194
4,10_28eababbb2f9cc1c43e750c1a6bbdd638b3b2c3cclass,5.69388,8.7398,3.04592,5.69388,5.16327,1.68367,0.11224,6.43878,3.25,0.14959,0,0,3.62245,0.27041,3.06633,0.21429,0.28061,0.06122,3.40816,0.0102,0,0,1.56122,0.10204,0.06122,1.43367,0.0102,0.05612,0.44388,0,2.5102,27.71939,1.65306,0.34694,0.55102,0.03061,0.88776,1.46429,18.22449,6.33673,3.13265,5.70918,0.54082,0.0102,0,0,28.38265,21.95918,0.02041
5,8_a82d8bc2f4d5f1c34f6f6442f769b62f28191256class,5.83495,8.70388,2.86893,5.83495,5.06796,1.42233,0.14563,6.83981,4.1068,0.18213,0,0,3.81068,0.22816,3.34466,0.14078,0.27184,0.0534,3.6699,0.00971,0,0,1.7233,0.07767,0.04369,1.62136,0.00485,0.0534,0.46117,0,2.39806,28.90291,1.64078,0.36893,0.32524,0.02913,0.77184,1.31553,19.42233,7.24272,2.95631,6.50485,0.52913,0.00971,0,0,30.90291,15.8932,0.01456
6,4_dc6330611f953ea2bba4821d635177b24da8127dclass,6.93605,9.24612,2.31008,6.93605,6.06202,1.78101,0.1938,8.10659,12.16473,0.21362,-0.01974,-0.01974,4.50969,0.34884,3.62791,0.29845,0.25388,0.32946,4.21124,0.00581,0,0,1.59884,0.15116,0.01938,1.52713,0.02519,0.02713,0.81202,0,3.25969,33.43798,2.06783,0.35659,0.36628,0.02907,0.36628,4.20543,22.47287,7.67442,1.3876,7.03488,0.52907,0.00969,0.02326,0.14341,36.64341,16.95155,0.04845
7,5_805f761fafd0aeab2da638a7827e0635c0261757class,5.71111,7.58611,1.875,5.71111,5.18056,1.68333,0.10278,6.42778,3.38611,0.1417,-0.03333,-0.03333,3.53889,0.21667,2.75,0.24167,0.33056,0.21667,3.29722,0.00556,0.00278,0,1.71944,0.11667,0.03611,1.62222,0.03333,0.02778,0.66667,0,1.81667,30.16111,1.74722,0.39444,0.5,0.02222,0.43056,5.41389,21.83611,6.52222,1.56667,5.89167,0.55833,0.00833,0.03056,0.03056,32.58333,20.93889,0.01667
8,6_87e6001b6f4624e40513751a5f79c49b086df32cclass,6.7914,9.07312,2.28172,6.7914,5.86452,1.7957,0.15484,7.83656,10.44946,0.22856,-0.02736,-0.02736,4.32043,0.31183,3.39355,0.31613,0.26667,0.34409,4.0043,0.00645,0,0,1.66022,0.20215,0.0129,1.5914,0.02796,0.02796,0.82796,0,3.56774,32.73118,1.94624,0.37204,0.36129,0.02366,0.3957,4.53548,21.59355,7.42581,1.47742,6.74839,0.53333,0.01075,0.02796,0.11183,35.86237,23.05376,0.04301
9,3_1e765120efa4d654436499475acd84c5c6c58c37class,5.94322,8.4511,2.50789,5.94322,4.73817,1.70347,0.09464,6.02839,3.25868,0.12621,0,0,3.347,0.18612,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,3.75079,28.46372,1.46372,0.30915,0.43218,0.02208,0.57413,1.58675,23.30599,6.19243,2.23344,5.64353,0.49842,0.00946,0.00315,0,30.56782,20.41325,0.02208
0,3_6b84413b7420cf0e19e23d72ae50aabf8703a02class,3.30682,4.57955,1.27273,3.30682,9.65909,2.05682,0.34091,11.07955,9.79545,0.23669,-0.11905,-0.11905,3.52273,0.15909,2.09091,0.82955,0.48864,0.11364,2.71591,0.01136,0.01136,0,2.63636,0.76136,0.10227,1.95455,0.52273,0.05682,0.81818,0,0.92045,54.11364,2.01136,0.76136,1.36364,0.88636,0.19318,9.04545,0.63636,7.97727,2.84091,7.89773,1.09091,0.21591,0.13636,0,61.03409,71.15909,1.70455
1,4_ca8be15661089aaf82dc3d5d52d24211f5eb71cclass,3.37374,4.68687,1.31313,3.37374,9.80808,1.88889,0.30303,11.38384,9.82828,0.27407,-0.1,-0.1,3.67677,0.20202,2.26263,0.84848,0.45455,0.11111,2.84848,0.0101,0.0101,0,3.10101,0.67677,0.09091,2.39394,0.56566,0.05051,0.72727,0,1.0404,55.09091,2.21212,0.80808,1.35354,0.84848,0.22222,8.65657,0.64646,8.31313,2.69697,8.22222,1.10101,0.20202,0.12121,0,61.54545,53,1.65657
2,1_a51f4b890237b1427fecab3aee4760f9d892b41class,4.2542,4.70168,0.44748,4.2542,4.28782,1.80042,0.08824,6.82983,18.65336,0.18681,-0.00568,-0.00568,2.95798,0.07353,2.04412,0.22689,0.61765,0.06933,2.73109,0,0.03782,0,1.72269,0.37395,0.07983,1.38655,0.02731,0.22899,0.5021,0,0.38655,32.98529,0.70798,0.27941,0.39286,0.06933,0.27521,8.67017,5.70378,5.07143,1.55882,3.9937,0.45798,0.28151,0.15756,0,34.9895,5.60924,0.06092
3,2_ab4e138b4244861690e5ca0ef16bc0ec6ed169dclass,4.25,4.69748,0.44748,4.25,4.31303,1.80042,0.08824,6.82143,18.69958,0.18789,-0.00568,-0.00568,2.96429,0.07353,2.04412,0.22899,0.62185,0.06933,2.73529,0,0.03782,0,1.72479,0.37395,0.07983,1.38655,0.02941,0.22899,0.5021,0,0.38655,33.07353,0.71429,0.28151,0.39496,0.06933,0.27101,8.69118,5.71429,5.08824,1.56933,4.01261,0.46639,0.28151,0.15756,0,35.19118,5.60924,0.06513
4,5_d0e0424d8228786e6bed7764fbcc6290914a038class,3.1875,4.44792,1.26042,3.1875,9.66667,1.91667,0.3125,10.92708,9.97917,0.26988,-0.10638,-0.10638,3.625,0.15625,2.20833,0.85417,0.45833,0.10417,2.79167,0.01042,0.01042,0,3.02083,0.69792,0.09375,2.30208,0.57292,0.05208,0.75,0,0.96875,54.40625,2.1875,0.77083,1.35417,0.82292,0.20833,8.57292,0.65625,8.22917,2.71875,8.10417,1.05208,0.20833,0.125,0,60.66667,54.625,1.69792
5,6_9547c22ee1133d6fb6441169fc965c72700aea2class,3.22989,4.45977,1.22989,3.22989,9.41379,2.06897,0.34483,10.89655,9.94253,0.23335,-0.12195,-0.12195,3.50575,0.12644,2.03448,0.85057,0.50575,0.11494,2.67816,0.01149,0.01149,0,2.56322,0.71264,0.10345,1.93103,0.47126,0.05747,0.77011,0,0.75862,53.48276,1.97701,0.75862,1.26437,0.86207,0.2069,8.62069,0.5977,7.75862,2.62069,7.70115,1.06897,0.21839,0.13793,0,60.17241,71.96552,1.48276
0,2_999f6007b19c4353f35602ec93a8c91419663fdeclass,3.20495,5.53357,2.32862,3.20495,12.69611,1.29682,0.09541,7.91873,104.31449,0.1884,-0.03774,-0.03774,7.42403,0.42756,4.77385,0.34629,0.25795,2.04594,7.09541,0.04594,0.14488,0.04947,2.11307,0.79859,0.45936,1.22968,0.06007,0.36396,0.80212,0,4.28269,48.89399,3.9682,0.5265,2.24382,0.54417,0.63958,10.72438,4.38163,7.65724,2.27562,4.97527,0.68905,0.38869,0.02473,0,47.76325,23.28622,0.12014
